id,kind,text,repr,byte_len,char_len,byte_hex,left_id,right_id,flags,categories,decode_ok,decode_error
152,byte,,b'\x94',1,0,94,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x94 in position 0: invalid start byte
153,byte,,b'\x95',1,0,95,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x95 in position 0: invalid start byte
154,byte,,b'\x96',1,0,96,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x96 in position 0: invalid start byte
155,byte,,b'\x97',1,0,97,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x97 in position 0: invalid start byte
156,byte,,b'\x98',1,0,98,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x98 in position 0: invalid start byte
157,byte,,b'\x99',1,0,99,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x99 in position 0: invalid start byte
158,byte,,b'\x9a',1,0,9a,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9a in position 0: invalid start byte
159,byte,,b'\x9b',1,0,9b,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9b in position 0: invalid start byte
160,byte,,b'\x9c',1,0,9c,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9c in position 0: invalid start byte
161,byte,,b'\x9d',1,0,9d,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9d in position 0: invalid start byte
162,byte,,b'\x9e',1,0,9e,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9e in position 0: invalid start byte
163,byte,,b'\x9f',1,0,9f,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x9f in position 0: invalid start byte
164,byte,,b'\xa0',1,0,a0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa0 in position 0: invalid start byte
165,byte,,b'\xa1',1,0,a1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa1 in position 0: invalid start byte
166,byte,,b'\xa2',1,0,a2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa2 in position 0: invalid start byte
167,byte,,b'\xa3',1,0,a3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa3 in position 0: invalid start byte
168,byte,,b'\xa4',1,0,a4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa4 in position 0: invalid start byte
169,byte,,b'\xa5',1,0,a5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa5 in position 0: invalid start byte
170,byte,,b'\xa6',1,0,a6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa6 in position 0: invalid start byte
171,byte,,b'\xa7',1,0,a7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa7 in position 0: invalid start byte
172,byte,,b'\xa8',1,0,a8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa8 in position 0: invalid start byte
173,byte,,b'\xa9',1,0,a9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xa9 in position 0: invalid start byte
174,byte,,b'\xaa',1,0,aa,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xaa in position 0: invalid start byte
175,byte,,b'\xab',1,0,ab,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xab in position 0: invalid start byte
176,byte,,b'\xac',1,0,ac,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xac in position 0: invalid start byte
177,byte,,b'\xad',1,0,ad,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xad in position 0: invalid start byte
178,byte,,b'\xae',1,0,ae,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xae in position 0: invalid start byte
179,byte,,b'\xaf',1,0,af,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xaf in position 0: invalid start byte
180,byte,,b'\xb0',1,0,b0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb0 in position 0: invalid start byte
181,byte,,b'\xb1',1,0,b1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb1 in position 0: invalid start byte
182,byte,,b'\xb2',1,0,b2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb2 in position 0: invalid start byte
183,byte,,b'\xb3',1,0,b3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb3 in position 0: invalid start byte
184,byte,,b'\xb4',1,0,b4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
185,byte,,b'\xb5',1,0,b5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb5 in position 0: invalid start byte
186,byte,,b'\xb6',1,0,b6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb6 in position 0: invalid start byte
187,byte,,b'\xb7',1,0,b7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb7 in position 0: invalid start byte
188,byte,,b'\xb8',1,0,b8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb8 in position 0: invalid start byte
189,byte,,b'\xb9',1,0,b9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xb9 in position 0: invalid start byte
190,byte,,b'\xba',1,0,ba,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xba in position 0: invalid start byte
191,byte,,b'\xbb',1,0,bb,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xbb in position 0: invalid start byte
192,byte,,b'\xbc',1,0,bc,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xbc in position 0: invalid start byte
193,byte,,b'\xbd',1,0,bd,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xbd in position 0: invalid start byte
194,byte,,b'\xbe',1,0,be,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xbe in position 0: invalid start byte
195,byte,,b'\xbf',1,0,bf,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xbf in position 0: invalid start byte
196,byte,,b'\xc0',1,0,c0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc0 in position 0: invalid start byte
197,byte,,b'\xc1',1,0,c1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc1 in position 0: invalid start byte
198,byte,,b'\xc2',1,0,c2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc2 in position 0: unexpected end of data
199,byte,,b'\xc3',1,0,c3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc3 in position 0: unexpected end of data
200,byte,,b'\xc4',1,0,c4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc4 in position 0: unexpected end of data
201,byte,,b'\xc5',1,0,c5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc5 in position 0: unexpected end of data
202,byte,,b'\xc6',1,0,c6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc6 in position 0: unexpected end of data
203,byte,,b'\xc7',1,0,c7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc7 in position 0: unexpected end of data
204,byte,,b'\xc8',1,0,c8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc8 in position 0: unexpected end of data
205,byte,,b'\xc9',1,0,c9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xc9 in position 0: unexpected end of data
206,byte,,b'\xca',1,0,ca,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xca in position 0: unexpected end of data
207,byte,,b'\xcb',1,0,cb,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xcb in position 0: unexpected end of data
208,byte,,b'\xcc',1,0,cc,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xcc in position 0: unexpected end of data
209,byte,,b'\xcd',1,0,cd,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xcd in position 0: unexpected end of data
210,byte,,b'\xce',1,0,ce,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xce in position 0: unexpected end of data
211,byte,,b'\xcf',1,0,cf,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xcf in position 0: unexpected end of data
212,byte,,b'\xd0',1,0,d0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd0 in position 0: unexpected end of data
213,byte,,b'\xd1',1,0,d1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd1 in position 0: unexpected end of data
214,byte,,b'\xd2',1,0,d2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd2 in position 0: unexpected end of data
215,byte,,b'\xd3',1,0,d3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd3 in position 0: unexpected end of data
216,byte,,b'\xd4',1,0,d4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd4 in position 0: unexpected end of data
217,byte,,b'\xd5',1,0,d5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd5 in position 0: unexpected end of data
218,byte,,b'\xd6',1,0,d6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd6 in position 0: unexpected end of data
219,byte,,b'\xd7',1,0,d7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd7 in position 0: unexpected end of data
220,byte,,b'\xd8',1,0,d8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd8 in position 0: unexpected end of data
221,byte,,b'\xd9',1,0,d9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xd9 in position 0: unexpected end of data
222,byte,,b'\xda',1,0,da,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xda in position 0: unexpected end of data
223,byte,,b'\xdb',1,0,db,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xdb in position 0: unexpected end of data
224,byte,,b'\xdc',1,0,dc,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xdc in position 0: unexpected end of data
225,byte,,b'\xdd',1,0,dd,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xdd in position 0: unexpected end of data
226,byte,,b'\xde',1,0,de,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xde in position 0: unexpected end of data
227,byte,,b'\xdf',1,0,df,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xdf in position 0: unexpected end of data
228,byte,,b'\xe0',1,0,e0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe0 in position 0: unexpected end of data
229,byte,,b'\xe1',1,0,e1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe1 in position 0: unexpected end of data
230,byte,,b'\xe2',1,0,e2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe2 in position 0: unexpected end of data
231,byte,,b'\xe3',1,0,e3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe3 in position 0: unexpected end of data
232,byte,,b'\xe4',1,0,e4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe4 in position 0: unexpected end of data
233,byte,,b'\xe5',1,0,e5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe5 in position 0: unexpected end of data
234,byte,,b'\xe6',1,0,e6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe6 in position 0: unexpected end of data
235,byte,,b'\xe7',1,0,e7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe7 in position 0: unexpected end of data
236,byte,,b'\xe8',1,0,e8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe8 in position 0: unexpected end of data
237,byte,,b'\xe9',1,0,e9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xe9 in position 0: unexpected end of data
238,byte,,b'\xea',1,0,ea,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xea in position 0: unexpected end of data
239,byte,,b'\xeb',1,0,eb,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xeb in position 0: unexpected end of data
240,byte,,b'\xec',1,0,ec,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xec in position 0: unexpected end of data
241,byte,,b'\xed',1,0,ed,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xed in position 0: unexpected end of data
242,byte,,b'\xee',1,0,ee,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xee in position 0: unexpected end of data
243,byte,,b'\xef',1,0,ef,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xef in position 0: unexpected end of data
244,byte,,b'\xf0',1,0,f0,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf0 in position 0: unexpected end of data
245,byte,,b'\xf1',1,0,f1,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf1 in position 0: unexpected end of data
246,byte,,b'\xf2',1,0,f2,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf2 in position 0: unexpected end of data
247,byte,,b'\xf3',1,0,f3,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf3 in position 0: unexpected end of data
248,byte,,b'\xf4',1,0,f4,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf4 in position 0: unexpected end of data
249,byte,,b'\xf5',1,0,f5,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf5 in position 0: invalid start byte
250,byte,,b'\xf6',1,0,f6,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf6 in position 0: invalid start byte
251,byte,,b'\xf7',1,0,f7,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf7 in position 0: invalid start byte
252,byte,,b'\xf8',1,0,f8,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf8 in position 0: invalid start byte
253,byte,,b'\xf9',1,0,f9,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xf9 in position 0: invalid start byte
254,byte,,b'\xfa',1,0,fa,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xfa in position 0: invalid start byte
255,byte,,b'\xfb',1,0,fb,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xfb in position 0: invalid start byte
256,byte,,b'\xfc',1,0,fc,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xfc in position 0: invalid start byte
257,byte,,b'\xfd',1,0,fd,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xfd in position 0: invalid start byte
258,byte,,b'\xfe',1,0,fe,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xfe in position 0: invalid start byte
259,byte,,b'\xff',1,0,ff,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xff in position 0: invalid start byte
260,merge,,b' \xec',2,0,20 ec,36,240,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xec in position 1: unexpected end of data
261,merge,,b' \xeb',2,0,20 eb,36,239,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0xeb in position 1: unexpected end of data
262,merge,,b'\xec\x9d',2,0,ec 9d,240,161,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
263,merge,,b'\xeb\x8b',2,0,eb 8b,239,143,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
264,merge,,b'\xed\x95',2,0,ed 95,241,153,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
265,merge,,b'\xea\xb0',2,0,ea b0,238,180,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
266,merge,..,'..',2,2,2e 2e,50,50,,punct_symbol,True,
267,merge,이,'이',3,1,ec 9d b4,262,184,,hangul,True,
268,merge,다,'다',3,1,eb 8b a4,263,168,,hangul,True,
269,merge,,b'\xeb\x8a',2,0,eb 8a,239,142,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
270,merge,,b'\xec\x97',2,0,ec 97,240,155,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
271,merge,,b'\xea\xb3',2,0,ea b3,238,183,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
272,merge,는,'는',3,1,eb 8a 94,269,152,,hangul,True,
273,merge,,b'\xec\xa7',2,0,ec a7,240,171,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
274,merge,,b'\xec\x9e',2,0,ec 9e,240,162,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode bytes in position 0-1: unexpected end of data
